seed,i_mult,condition,fitness,wall_sec
0,4.0,open_loop,-1.566500e-04,0.36
0,4.0,closed_loop,-5.594778e-05,0.37
37,4.0,open_loop,-1.554551e-04,0.28
37,4.0,closed_loop,-5.594778e-05,0.33
74,4.0,open_loop,-1.561858e-04,0.29
74,4.0,closed_loop,-5.594778e-05,0.36
111,4.0,open_loop,-1.550239e-04,0.28
111,4.0,closed_loop,-5.594778e-05,0.33
148,4.0,open_loop,-1.570991e-04,0.29
148,4.0,closed_loop,-5.594778e-05,0.33
185,4.0,open_loop,-1.559883e-04,0.29
185,4.0,closed_loop,-5.594778e-05,0.33
222,4.0,open_loop,-1.546074e-04,0.29
222,4.0,closed_loop,-5.594778e-05,0.33
259,4.0,open_loop,-1.567078e-04,0.29
259,4.0,closed_loop,-5.594778e-05,0.34
296,4.0,open_loop,-1.553485e-04,0.29
296,4.0,closed_loop,-5.594778e-05,0.33
333,4.0,open_loop,-1.554727e-04,0.29
333,4.0,closed_loop,-5.594778e-05,0.33
370,4.0,open_loop,-1.552060e-04,0.28
370,4.0,closed_loop,-5.594778e-05,0.33
407,4.0,open_loop,-1.554362e-04,0.29
407,4.0,closed_loop,-5.594778e-05,0.34
444,4.0,open_loop,-1.551656e-04,0.29
444,4.0,closed_loop,-5.594778e-05,0.34
481,4.0,open_loop,-1.548723e-04,0.28
481,4.0,closed_loop,-5.594778e-05,0.33
518,4.0,open_loop,-1.539963e-04,0.29
518,4.0,closed_loop,-5.594778e-05,0.37
555,4.0,open_loop,-1.545354e-04,0.28
555,4.0,closed_loop,-5.594778e-05,0.40
592,4.0,open_loop,-1.550228e-04,0.28
592,4.0,closed_loop,-5.594778e-05,0.34
629,4.0,open_loop,-1.548287e-04,0.29
629,4.0,closed_loop,-5.594778e-05,0.33
666,4.0,open_loop,-1.572829e-04,0.28
666,4.0,closed_loop,-5.594778e-05,0.34
703,4.0,open_loop,-1.549757e-04,0.29
703,4.0,closed_loop,-5.594778e-05,0.33
740,4.0,open_loop,-1.570565e-04,0.28
740,4.0,closed_loop,-5.594778e-05,0.33
777,4.0,open_loop,-1.551660e-04,0.29
777,4.0,closed_loop,-5.594778e-05,0.33
814,4.0,open_loop,-1.546844e-04,0.28
