ga_seed,condition,best_fitness,wall_sec
0,open_loop,-1.411511e-04,12.75
0,closed_loop,-4.922629e-05,9.10
1,open_loop,-1.388033e-04,8.81
1,closed_loop,-5.315029e-05,9.04
2,open_loop,-1.403443e-04,8.88
2,closed_loop,-5.372916e-05,9.14
3,open_loop,-1.428702e-04,8.92
3,closed_loop,-5.324040e-05,9.12
4,open_loop,-1.436054e-04,8.82
4,closed_loop,-5.505363e-05,9.05
5,open_loop,-1.432521e-04,8.89
5,closed_loop,-5.494007e-05,9.06
6,open_loop,-1.409490e-04,8.85
6,closed_loop,-5.417391e-05,9.06
7,open_loop,-1.416158e-04,8.82
7,closed_loop,-5.393941e-05,9.10
8,open_loop,-1.411944e-04,8.85
8,closed_loop,-5.373172e-05,9.05
9,open_loop,-1.434049e-04,8.80
9,closed_loop,-5.404566e-05,9.04
10,open_loop,-1.420024e-04,8.87
10,closed_loop,-5.473126e-05,9.16
11,open_loop,-1.440054e-04,8.82
11,closed_loop,-5.240382e-05,9.09
12,open_loop,-1.419059e-04,8.89
12,closed_loop,-5.495484e-05,9.09
13,open_loop,-1.444265e-04,8.89
13,closed_loop,-5.521778e-05,9.05
14,open_loop,-1.438974e-04,8.77
14,closed_loop,-5.450761e-05,9.14
15,open_loop,-1.400327e-04,8.81
15,closed_loop,-5.528796e-05,9.05
16,open_loop,-1.458755e-04,8.77
16,closed_loop,-5.413095e-05,8.99
17,open_loop,-1.428099e-04,8.78
17,closed_loop,-5.455057e-05,9.06
18,open_loop,-1.417385e-04,8.86
18,closed_loop,-5.369695e-05,9.11
19,open_loop,-1.420376e-04,8.82
19,closed_loop,-5.346068e-05,9.13
