ga_seed,condition,best_fitness,cross_pct,cross_e_pct,cross_i_pct,recurrent_pct,v_mean,v_std,v_max,v_mean_cross_e,v_mean_recurrent
0,open_loop,-1.411511e-04,100.000000,100.000000,0.000000,0.000000,1.999352,0.000961,1.999872,1.999352,0.000000
0,closed_loop,-4.922629e-05,87.915039,87.915039,0.000000,12.084961,1.991917,0.003260,1.994360,1.991602,1.994203
1,open_loop,-1.388033e-04,100.000000,100.000000,0.000000,0.000000,1.977959,0.012491,1.993245,1.977959,0.000000
1,closed_loop,-5.315029e-05,100.000000,98.596191,1.403809,0.000000,1.972879,0.025699,1.994589,1.973425,0.000000
2,open_loop,-1.403443e-04,100.000000,100.000000,0.000000,0.000000,1.997861,0.001120,1.999168,1.997861,0.000000
2,closed_loop,-5.372916e-05,97.338867,97.338867,0.000000,2.661133,1.946610,0.019757,1.987813,1.946195,1.961785
3,open_loop,-1.428702e-04,100.000000,100.000000,0.000000,0.000000,1.999021,0.001602,1.999685,1.999021,0.000000
3,closed_loop,-5.324040e-05,100.000000,98.913574,1.086426,0.000000,1.832445,0.167895,1.969876,1.838738,0.000000
4,open_loop,-1.436054e-04,100.000000,100.000000,0.000000,0.000000,1.999288,0.000202,1.999534,1.999288,0.000000
4,closed_loop,-5.505363e-05,100.000000,100.000000,0.000000,0.000000,1.909805,0.024414,1.940727,1.909805,0.000000
5,open_loop,-1.432521e-04,100.000000,100.000000,0.000000,0.000000,1.987945,0.007865,1.998205,1.987945,0.000000
5,closed_loop,-5.494007e-05,100.000000,98.913574,1.086426,0.000000,1.818552,0.067650,1.927587,1.820411,0.000000
6,open_loop,-1.409490e-04,100.000000,100.000000,0.000000,0.000000,1.999943,0.000101,1.999998,1.999943,0.000000
6,closed_loop,-5.417391e-05,100.000000,97.290039,2.709961,0.000000,1.928710,0.056429,1.992289,1.927016,0.000000
7,open_loop,-1.416158e-04,100.000000,100.000000,0.000000,0.000000,1.992500,0.000561,1.993178,1.992500,0.000000
7,closed_loop,-5.393941e-05,100.000000,99.401855,0.598145,0.000000,1.996131,0.001981,1.998038,1.996120,0.000000
8,open_loop,-1.411944e-04,100.000000,100.000000,0.000000,0.000000,1.998762,0.000970,1.999666,1.998762,0.000000
8,closed_loop,-5.373172e-05,100.000000,100.000000,0.000000,0.000000,1.618310,0.349099,1.930313,1.618310,0.000000
9,open_loop,-1.434049e-04,100.000000,100.000000,0.000000,0.000000,1.995880,0.003217,1.998572,1.995880,0.000000
9,closed_loop,-5.404566e-05,94.714355,94.714355,0.000000,5.285645,1.934789,0.060936,1.980539,1.945059,1.750767
10,open_loop,-1.420024e-04,100.000000,100.000000,0.000000,0.000000,1.998817,0.000656,1.999386,1.998817,0.000000
10,closed_loop,-5.473126e-05,97.546387,97.546387,0.000000,2.453613,1.740972,0.094798,1.891226,1.738187,1.851714
11,open_loop,-1.440054e-04,100.000000,100.000000,0.000000,0.000000,1.998641,0.001246,1.999762,1.998641,0.000000
11,closed_loop,-5.240382e-05,100.000000,97.973633,2.026367,0.000000,1.967740,0.007638,1.975834,1.967705,0.000000
12,open_loop,-1.419059e-04,100.000000,100.000000,0.000000,0.000000,1.999826,0.000098,1.999909,1.999826,0.000000
12,closed_loop,-5.495484e-05,100.000000,98.840332,1.159668,0.000000,1.937407,0.032006,1.976454,1.937069,0.000000
13,open_loop,-1.444265e-04,100.000000,100.000000,0.000000,0.000000,1.999812,0.000055,1.999873,1.999812,0.000000
13,closed_loop,-5.521778e-05,100.000000,98.522949,1.477051,0.000000,1.874476,0.089406,1.991138,1.878197,0.000000
14,open_loop,-1.438974e-04,100.000000,100.000000,0.000000,0.000000,1.999388,0.000788,1.999804,1.999388,0.000000
14,closed_loop,-5.450761e-05,100.000000,100.000000,0.000000,0.000000,1.777066,0.012314,1.805670,1.777066,0.000000
15,open_loop,-1.400327e-04,100.000000,100.000000,0.000000,0.000000,1.999799,0.001199,1.999982,1.999799,0.000000
15,closed_loop,-5.528796e-05,100.000000,100.000000,0.000000,0.000000,1.696000,0.192931,1.963835,1.696000,0.000000
16,open_loop,-1.458755e-04,100.000000,100.000000,0.000000,0.000000,1.997328,0.001368,1.998294,1.997328,0.000000
16,closed_loop,-5.413095e-05,95.031738,95.031738,0.000000,4.968262,1.985636,0.006430,1.994734,1.985335,1.991400
17,open_loop,-1.428099e-04,100.000000,100.000000,0.000000,0.000000,1.999969,0.000032,1.999989,1.999969,0.000000
17,closed_loop,-5.455057e-05,100.000000,100.000000,0.000000,0.000000,1.842825,0.035689,1.923089,1.842825,0.000000
18,open_loop,-1.417385e-04,100.000000,100.000000,0.000000,0.000000,1.999871,0.000039,1.999920,1.999871,0.000000
18,closed_loop,-5.369695e-05,100.000000,98.107910,1.892090,0.000000,1.944790,0.002970,1.949185,1.944777,0.000000
19,open_loop,-1.420376e-04,100.000000,100.000000,0.000000,0.000000,1.999979,0.000025,1.999997,1.999979,0.000000
19,closed_loop,-5.346068e-05,99.450684,97.204590,2.246094,0.549316,1.997629,0.000541,1.998297,1.997622,1.996368
