seed,hurst,condition,track_fit,pred_fit,stim_lag1,a_rate_mean,b_rate_mean,wall_sec
0,0.3,open_loop,-8.008284e-05,-8.447626e-05,-0.171149,38.8477,30.1719,3.26
0,0.3,closed_loop,-4.119872e-06,-8.794521e-06,-0.171149,38.8125,37.8008,0.42
37,0.3,open_loop,-8.233322e-05,-8.764480e-05,-0.117892,38.8301,30.1582,0.32
37,0.3,closed_loop,-1.135483e-06,-1.332518e-05,-0.117892,38.8516,38.7520,0.37
74,0.3,open_loop,-8.327598e-05,-8.987523e-05,-0.186804,38.6523,29.7988,0.29
74,0.3,closed_loop,-2.987443e-06,-1.376190e-05,-0.186804,38.6445,37.8262,0.37
111,0.3,open_loop,-8.337752e-05,-8.312305e-05,0.197125,38.8027,29.9551,0.29
111,0.3,closed_loop,-1.150170e-05,-5.326765e-06,0.197125,38.8008,38.4863,0.37
148,0.3,open_loop,-8.307517e-05,-8.731023e-05,-0.309270,38.8711,30.0176,0.29
148,0.3,closed_loop,-5.461348e-06,-9.838624e-06,-0.309270,38.8809,37.1641,0.37
185,0.3,open_loop,-8.457414e-05,-8.907246e-05,-0.285820,38.9258,30.0156,0.29
185,0.3,closed_loop,-4.059447e-06,-1.087550e-05,-0.285820,38.9492,38.0859,0.37
222,0.3,open_loop,-7.769097e-05,-8.269082e-05,0.092932,38.8398,30.3574,0.29
222,0.3,closed_loop,-4.970628e-06,-5.752001e-06,0.092932,38.8555,38.5098,0.38
259,0.3,open_loop,-7.623145e-05,-8.061162e-05,-0.618545,38.6719,30.2480,0.30
259,0.3,closed_loop,-1.025062e-05,-9.357816e-06,-0.618545,38.6523,38.2910,0.36
296,0.3,open_loop,-7.822904e-05,-8.262922e-05,-0.472848,38.7832,30.2988,0.29
296,0.3,closed_loop,-4.683991e-06,-1.252530e-05,-0.472848,38.8203,38.0977,0.36
333,0.3,open_loop,-8.410484e-05,-8.878912e-05,-0.438041,38.8945,30.0488,0.29
333,0.3,closed_loop,-1.426086e-06,-1.121650e-05,-0.438041,38.8535,38.2402,0.40
370,0.3,open_loop,-7.407029e-05,-7.849724e-05,-0.240724,38.7480,30.4395,0.32
370,0.3,closed_loop,-3.253859e-06,-9.696877e-06,-0.240724,38.7813,37.7168,0.37
407,0.3,open_loop,-9.043937e-05,-8.525599e-05,-0.243512,38.8789,29.9824,0.29
407,0.3,closed_loop,-9.467696e-06,-8.262635e-06,-0.243512,38.9102,38.5371,0.37
