[2026-05-05T00:26:00+00:00] block 12 fGn N=100 sweep: H=[0.3, 0.5, 0.7, 0.9], N=100 seeds, 2 conditions per (seed, H)
[2026-05-05T00:26:00+00:00] device: gpu / cuda:0
[2026-05-05T00:26:00+00:00] already complete: 0 / 800
[2026-05-05T00:26:03+00:00]   done seed=0 H=0.3 open_loop track=-8.008e-05 pred=-8.448e-05 lag1=-0.171 wall=3.3s
[2026-05-05T00:26:04+00:00]   done seed=0 H=0.3 closed_loop track=-4.120e-06 pred=-8.795e-06 lag1=-0.171 wall=0.4s
[2026-05-05T00:26:04+00:00]   done seed=37 H=0.3 open_loop track=-8.233e-05 pred=-8.764e-05 lag1=-0.118 wall=0.3s
[2026-05-05T00:26:05+00:00]   done seed=37 H=0.3 closed_loop track=-1.135e-06 pred=-1.333e-05 lag1=-0.118 wall=0.4s
[2026-05-05T00:26:05+00:00]   done seed=74 H=0.3 open_loop track=-8.328e-05 pred=-8.988e-05 lag1=-0.187 wall=0.3s
[2026-05-05T00:26:05+00:00]   done seed=74 H=0.3 closed_loop track=-2.987e-06 pred=-1.376e-05 lag1=-0.187 wall=0.4s
[2026-05-05T00:26:06+00:00]   done seed=111 H=0.3 open_loop track=-8.338e-05 pred=-8.312e-05 lag1=0.197 wall=0.3s
[2026-05-05T00:26:06+00:00]   done seed=111 H=0.3 closed_loop track=-1.150e-05 pred=-5.327e-06 lag1=0.197 wall=0.4s
[2026-05-05T00:26:06+00:00]   done seed=148 H=0.3 open_loop track=-8.308e-05 pred=-8.731e-05 lag1=-0.309 wall=0.3s
[2026-05-05T00:26:07+00:00]   done seed=148 H=0.3 closed_loop track=-5.461e-06 pred=-9.839e-06 lag1=-0.309 wall=0.4s
[2026-05-05T00:26:07+00:00]   done seed=185 H=0.3 open_loop track=-8.457e-05 pred=-8.907e-05 lag1=-0.286 wall=0.3s
[2026-05-05T00:26:07+00:00]   done seed=185 H=0.3 closed_loop track=-4.059e-06 pred=-1.088e-05 lag1=-0.286 wall=0.4s
[2026-05-05T00:26:08+00:00]   done seed=222 H=0.3 open_loop track=-7.769e-05 pred=-8.269e-05 lag1=0.093 wall=0.3s
[2026-05-05T00:26:08+00:00]   done seed=222 H=0.3 closed_loop track=-4.971e-06 pred=-5.752e-06 lag1=0.093 wall=0.4s
