seed,fit_before,fit_after,improvement_pct,train_time,wall_sec
0,-2.585904e-04,-2.214204e-04,14.37,0.71,4.06
37,-2.535551e-04,-2.162144e-04,14.73,0.62,1.40
74,-2.628418e-04,-2.250698e-04,14.37,0.63,1.37
111,-2.651426e-04,-2.227704e-04,15.98,0.62,1.36
148,-2.646230e-04,-2.265271e-04,14.40,0.62,1.35
185,-2.591378e-04,-2.201987e-04,15.03,0.62,1.40
222,-2.790204e-04,-2.381915e-04,14.63,0.66,1.44
259,-2.595691e-04,-2.148794e-04,17.22,0.65,1.46
296,-2.710109e-04,-2.219882e-04,18.09,0.64,1.36
333,-2.634456e-04,-2.227350e-04,15.45,0.62,1.42
370,-2.624783e-04,-2.179909e-04,16.95,0.63,1.37
407,-2.587801e-04,-2.203237e-04,14.86,0.62,1.38
444,-2.630379e-04,-2.196371e-04,16.50,0.69,1.56
481,-2.786786e-04,-2.323678e-04,16.62,0.75,1.62
518,-2.670329e-04,-2.214575e-04,17.07,0.72,1.68
555,-2.635513e-04,-2.270722e-04,13.84,0.96,2.25
592,-2.649885e-04,-2.251530e-04,15.03,0.70,1.63
629,-2.695717e-04,-2.287825e-04,15.13,0.64,1.40
666,-2.739990e-04,-2.299724e-04,16.07,0.66,1.44
703,-2.760879e-04,-2.304254e-04,16.54,0.64,1.42
740,-2.793496e-04,-2.354587e-04,15.71,0.64,1.40
777,-2.609533e-04,-2.249195e-04,13.81,0.64,1.40
814,-2.572797e-04,-2.170146e-04,15.65,0.64,1.44
851,-2.625838e-04,-2.211715e-04,15.77,0.64,1.41
888,-2.603917e-04,-2.194091e-04,15.74,0.64,1.41
925,-2.749634e-04,-2.269821e-04,17.45,0.66,1.51
962,-2.718471e-04,-2.289079e-04,15.80,0.65,1.46
999,-2.604027e-04,-2.201453e-04,15.46,0.63,1.38
1036,-2.673015e-04,-2.234066e-04,16.42,0.66,1.41
1073,-2.742237e-04,-2.339141e-04,14.70,0.64,1.40
1110,-2.652477e-04,-2.301995e-04,13.21,0.64,1.42
1147,-2.721648e-04,-2.251510e-04,17.27,0.64,1.42
1184,-2.884202e-04,-2.391629e-04,17.08,0.64,1.43
1221,-2.684678e-04,-2.326995e-04,13.32,0.66,1.48
1258,-2.669404e-04,-2.256376e-04,15.47,1.10,2.19
1295,-2.773642e-04,-2.348139e-04,15.34,0.81,1.71
1332,-2.709056e-04,-2.296253e-04,15.24,0.65,1.45
1369,-2.702523e-04,-2.215893e-04,18.01,0.67,1.49
1406,-2.669086e-04,-2.234573e-04,16.28,0.66,1.52
1443,-2.658410e-04,-2.151164e-04,19.08,0.68,1.49
1480,-2.652420e-04,-2.213546e-04,16.55,0.66,1.47
1517,-2.910647e-04,-2.400749e-04,17.52,0.66,1.49
1554,-2.770788e-04,-2.289409e-04,17.37,0.69,1.49
1591,-2.596098e-04,-2.182317e-04,15.94,0.69,1.52
1628,-2.839643e-04,-2.349371e-04,17.27,0.69,1.55
1665,-2.579559e-04,-2.190651e-04,15.08,0.70,1.51
1702,-2.718240e-04,-2.297566e-04,15.48,0.76,1.57
1739,-2.807437e-04,-2.373737e-04,15.45,0.65,1.55
1776,-2.738952e-04,-2.263493e-04,17.36,0.65,1.43
1813,-2.716683e-04,-2.316853e-04,14.72,0.66,1.44
1850,-2.713492e-04,-2.306050e-04,15.02,0.66,1.43
1887,-2.807096e-04,-2.432971e-04,13.33,0.65,1.44
1924,-2.618680e-04,-2.225467e-04,15.02,0.68,1.49
1961,-2.700642e-04,-2.281246e-04,15.53,0.65,1.42
1998,-2.700504e-04,-2.260051e-04,16.31,0.65,1.42
