seed,t_steps,condition,fitness,wall_sec
0,10000,open_loop,-1.566515e-04,0.53
0,10000,gain=200,-3.668605e-05,0.53
37,10000,open_loop,-1.564554e-04,0.39
37,10000,gain=200,-3.668605e-05,0.46
74,10000,open_loop,-1.557898e-04,0.38
74,10000,gain=200,-3.668605e-05,0.48
111,10000,open_loop,-1.564741e-04,0.39
111,10000,gain=200,-3.668605e-05,0.47
148,10000,open_loop,-1.562959e-04,0.38
148,10000,gain=200,-3.668605e-05,0.45
185,10000,open_loop,-1.566718e-04,0.40
185,10000,gain=200,-3.668605e-05,0.47
222,10000,open_loop,-1.560183e-04,0.40
222,10000,gain=200,-3.668605e-05,0.47
259,10000,open_loop,-1.557986e-04,0.42
259,10000,gain=200,-3.668605e-05,0.45
296,10000,open_loop,-1.571906e-04,0.43
296,10000,gain=200,-3.668605e-05,0.46
333,10000,open_loop,-1.576469e-04,0.39
333,10000,gain=200,-3.668605e-05,0.46
370,10000,open_loop,-1.582412e-04,0.38
370,10000,gain=200,-3.668605e-05,0.45
407,10000,open_loop,-1.584652e-04,0.38
407,10000,gain=200,-3.668605e-05,0.46
444,10000,open_loop,-1.564361e-04,0.38
444,10000,gain=200,-3.668605e-05,0.46
481,10000,open_loop,-1.573031e-04,0.40
481,10000,gain=200,-3.668605e-05,0.45
518,10000,open_loop,-1.583771e-04,0.38
518,10000,gain=200,-3.668605e-05,0.45
555,10000,open_loop,-1.587458e-04,0.41
555,10000,gain=200,-3.668605e-05,0.49
592,10000,open_loop,-1.570087e-04,0.42
592,10000,gain=200,-3.668605e-05,0.54
629,10000,open_loop,-1.560841e-04,0.39
629,10000,gain=200,-3.668605e-05,0.45
666,10000,open_loop,-1.558247e-04,0.40
666,10000,gain=200,-3.668605e-05,0.47
703,10000,open_loop,-1.559344e-04,0.40
703,10000,gain=200,-3.668605e-05,0.46
740,10000,open_loop,-1.560422e-04,0.39
740,10000,gain=200,-3.668605e-05,0.45
777,10000,open_loop,-1.576902e-04,0.39
777,10000,gain=200,-3.668605e-05,0.45
814,10000,open_loop,-1.575759e-04,0.38
814,10000,gain=200,-3.668605e-05,0.45
851,10000,open_loop,-1.570520e-04,0.38
851,10000,gain=200,-3.668605e-05,0.45
888,10000,open_loop,-1.557191e-04,0.38
888,10000,gain=200,-3.668605e-05,0.45
925,10000,open_loop,-1.564983e-04,0.38
925,10000,gain=200,-3.668605e-05,0.44
962,10000,open_loop,-1.570393e-04,0.38
962,10000,gain=200,-3.668605e-05,0.48
999,10000,open_loop,-1.558757e-04,0.38
999,10000,gain=200,-3.668605e-05,0.44
1036,10000,open_loop,-1.575748e-04,0.38
1036,10000,gain=200,-3.668605e-05,0.49
1073,10000,open_loop,-1.558963e-04,0.38
1073,10000,gain=200,-3.668605e-05,0.44
1110,10000,open_loop,-1.554594e-04,0.38
1110,10000,gain=200,-3.668605e-05,0.44
1147,10000,open_loop,-1.566920e-04,0.38
1147,10000,gain=200,-3.668605e-05,0.45
1184,10000,open_loop,-1.577522e-04,0.38
1184,10000,gain=200,-3.668605e-05,0.44
1221,10000,open_loop,-1.566077e-04,0.38
1221,10000,gain=200,-3.668605e-05,0.44
1258,10000,open_loop,-1.565085e-04,0.47
1258,10000,gain=200,-3.668605e-05,0.45
1295,10000,open_loop,-1.551215e-04,0.38
1295,10000,gain=200,-3.668605e-05,0.44
1332,10000,open_loop,-1.564656e-04,0.38
1332,10000,gain=200,-3.668605e-05,0.46
1369,10000,open_loop,-1.559959e-04,0.39
1369,10000,gain=200,-3.668605e-05,0.45
1406,10000,open_loop,-1.573238e-04,0.38
1406,10000,gain=200,-3.668605e-05,0.44
1443,10000,open_loop,-1.568940e-04,0.38
1443,10000,gain=200,-3.668605e-05,0.44
1480,10000,open_loop,-1.571571e-04,0.38
1480,10000,gain=200,-3.668605e-05,0.44
1517,10000,open_loop,-1.569613e-04,0.38
1517,10000,gain=200,-3.668605e-05,0.44
1554,10000,open_loop,-1.546443e-04,0.39
1554,10000,gain=200,-3.668605e-05,0.50
1591,10000,open_loop,-1.558623e-04,0.38
1591,10000,gain=200,-3.668605e-05,0.50
1628,10000,open_loop,-1.579991e-04,0.39
1628,10000,gain=200,-3.668605e-05,0.50
1665,10000,open_loop,-1.565673e-04,0.39
1665,10000,gain=200,-3.668605e-05,0.45
1702,10000,open_loop,-1.564011e-04,0.40
1702,10000,gain=200,-3.668605e-05,0.46
1739,10000,open_loop,-1.574444e-04,0.42
1739,10000,gain=200,-3.668605e-05,0.46
1776,10000,open_loop,-1.585814e-04,0.39
1776,10000,gain=200,-3.668605e-05,0.46
1813,10000,open_loop,-1.564754e-04,0.39
1813,10000,gain=200,-3.668605e-05,0.44
1850,10000,open_loop,-1.546729e-04,0.38
1850,10000,gain=200,-3.668605e-05,0.44
1887,10000,open_loop,-1.564957e-04,0.38
1887,10000,gain=200,-3.668605e-05,0.53
1924,10000,open_loop,-1.551857e-04,0.38
1924,10000,gain=200,-3.668605e-05,0.44
1961,10000,open_loop,-1.572332e-04,0.38
1961,10000,gain=200,-3.668605e-05,0.44
1998,10000,open_loop,-1.562468e-04,0.42
1998,10000,gain=200,-3.668605e-05,0.48
2035,10000,open_loop,-1.572873e-04,0.38
2035,10000,gain=200,-3.668605e-05,0.45
2072,10000,open_loop,-1.558537e-04,0.38
2072,10000,gain=200,-3.668605e-05,0.44
2109,10000,open_loop,-1.562680e-04,0.38
2109,10000,gain=200,-3.668605e-05,0.44
2146,10000,open_loop,-1.566167e-04,0.38
2146,10000,gain=200,-3.668605e-05,0.44
2183,10000,open_loop,-1.581763e-04,0.38
2183,10000,gain=200,-3.668605e-05,0.51
2220,10000,open_loop,-1.565765e-04,0.38
2220,10000,gain=200,-3.668605e-05,0.45
2257,10000,open_loop,-1.554575e-04,0.38
2257,10000,gain=200,-3.668605e-05,0.45
2294,10000,open_loop,-1.562977e-04,0.38
2294,10000,gain=200,-3.668605e-05,0.45
2331,10000,open_loop,-1.566672e-04,0.38
2331,10000,gain=200,-3.668605e-05,0.44
2368,10000,open_loop,-1.565000e-04,0.38
2368,10000,gain=200,-3.668605e-05,0.44
2405,10000,open_loop,-1.557132e-04,0.38
2405,10000,gain=200,-3.668605e-05,0.44
2442,10000,open_loop,-1.570128e-04,0.38
2442,10000,gain=200,-3.668605e-05,0.45
2479,10000,open_loop,-1.564788e-04,0.38
2479,10000,gain=200,-3.668605e-05,0.44
2516,10000,open_loop,-1.557898e-04,0.38
2516,10000,gain=200,-3.668605e-05,0.45
2553,10000,open_loop,-1.561279e-04,0.38
2553,10000,gain=200,-3.668605e-05,0.44
2590,10000,open_loop,-1.564984e-04,0.38
2590,10000,gain=200,-3.668605e-05,0.44
2627,10000,open_loop,-1.563271e-04,0.38
2627,10000,gain=200,-3.668605e-05,0.44
2664,10000,open_loop,-1.567930e-04,0.38
2664,10000,gain=200,-3.668605e-05,0.44
2701,10000,open_loop,-1.560935e-04,0.38
2701,10000,gain=200,-3.668605e-05,0.45
2738,10000,open_loop,-1.576469e-04,0.38
2738,10000,gain=200,-3.668605e-05,0.44
2775,10000,open_loop,-1.576075e-04,0.38
2775,10000,gain=200,-3.668605e-05,0.44
2812,10000,open_loop,-1.570481e-04,0.38
2812,10000,gain=200,-3.668605e-05,0.44
2849,10000,open_loop,-1.587164e-04,0.38
2849,10000,gain=200,-3.668605e-05,0.45
2886,10000,open_loop,-1.570818e-04,0.38
2886,10000,gain=200,-3.668605e-05,0.45
2923,10000,open_loop,-1.557586e-04,0.38
2923,10000,gain=200,-3.668605e-05,0.53
2960,10000,open_loop,-1.586159e-04,0.38
2960,10000,gain=200,-3.668605e-05,0.44
2997,10000,open_loop,-1.578972e-04,0.38
2997,10000,gain=200,-3.668605e-05,0.44
3034,10000,open_loop,-1.559185e-04,0.38
3034,10000,gain=200,-3.668605e-05,0.44
3071,10000,open_loop,-1.568917e-04,0.38
3071,10000,gain=200,-3.668605e-05,0.44
3108,10000,open_loop,-1.563577e-04,0.38
3108,10000,gain=200,-3.668605e-05,0.45
3145,10000,open_loop,-1.562175e-04,0.39
3145,10000,gain=200,-3.668605e-05,0.45
3182,10000,open_loop,-1.568491e-04,0.38
3182,10000,gain=200,-3.668605e-05,0.45
3219,10000,open_loop,-1.574600e-04,0.39
3219,10000,gain=200,-3.668605e-05,0.45
3256,10000,open_loop,-1.567840e-04,0.38
3256,10000,gain=200,-3.668605e-05,0.45
3293,10000,open_loop,-1.578321e-04,0.38
3293,10000,gain=200,-3.668605e-05,0.45
3330,10000,open_loop,-1.582065e-04,0.38
3330,10000,gain=200,-3.668605e-05,0.45
3367,10000,open_loop,-1.563447e-04,0.38
3367,10000,gain=200,-3.668605e-05,0.45
3404,10000,open_loop,-1.569020e-04,0.38
3404,10000,gain=200,-3.668605e-05,0.45
3441,10000,open_loop,-1.564676e-04,0.38
3441,10000,gain=200,-3.668605e-05,0.44
3478,10000,open_loop,-1.565231e-04,0.38
3478,10000,gain=200,-3.668605e-05,0.45
3515,10000,open_loop,-1.579038e-04,0.38
3515,10000,gain=200,-3.668605e-05,0.45
3552,10000,open_loop,-1.579356e-04,0.38
3552,10000,gain=200,-3.668605e-05,0.45
3589,10000,open_loop,-1.572419e-04,0.38
3589,10000,gain=200,-3.668605e-05,0.45
3626,10000,open_loop,-1.563346e-04,0.38
3626,10000,gain=200,-3.668605e-05,0.45
3663,10000,open_loop,-1.578423e-04,0.38
3663,10000,gain=200,-3.668605e-05,0.45
3700,10000,open_loop,-1.552658e-04,0.39
3700,10000,gain=200,-3.668605e-05,0.45
3737,10000,open_loop,-1.561394e-04,0.39
3737,10000,gain=200,-3.668605e-05,0.45
