seed,t_steps,condition,fitness,wall_sec
0,10000,open_loop,-1.567000e-04,0.60
0,10000,gain=10,-7.809000e-05,0.70
0,10000,gain=50,-3.669000e-05,0.70
0,10000,gain=200,-3.669000e-05,0.70
37,10000,open_loop,-1.565000e-04,0.50
37,10000,gain=10,-7.878000e-05,0.70
37,10000,gain=50,-3.669000e-05,0.70
37,10000,gain=200,-3.669000e-05,0.70
74,10000,open_loop,-1.558000e-04,0.50
74,10000,gain=10,-7.885000e-05,0.70
74,10000,gain=50,-3.669000e-05,0.70
74,10000,gain=200,-3.669000e-05,0.70
111,10000,open_loop,-1.565000e-04,0.50
111,10000,gain=10,-7.835000e-05,0.70
111,10000,gain=50,-3.669000e-05,0.70
111,10000,gain=200,-3.669000e-05,0.70
148,10000,open_loop,-1.563000e-04,0.50
148,10000,gain=10,-7.702000e-05,0.70
148,10000,gain=50,-3.669000e-05,0.70
148,10000,gain=200,-3.669000e-05,0.70
0,100000,open_loop,-1.523000e-04,2.20
0,100000,gain=10,-7.230000e-05,3.00
0,100000,gain=50,-2.737000e-05,3.10
0,100000,gain=200,-2.769000e-05,3.10
37,100000,open_loop,-1.525000e-04,2.20
37,100000,gain=10,-7.243000e-05,3.00
37,100000,gain=50,-2.737000e-05,3.10
37,100000,gain=200,-2.770000e-05,3.10
74,100000,open_loop,-1.526000e-04,2.20
74,100000,gain=10,-7.283000e-05,3.00
74,100000,gain=50,-2.739000e-05,3.10
74,100000,gain=200,-2.770000e-05,3.10
111,100000,open_loop,-1.523000e-04,2.20
111,100000,gain=10,-7.218000e-05,3.00
111,100000,gain=50,-2.738000e-05,3.10
111,100000,gain=200,-2.770000e-05,3.10
148,100000,open_loop,-1.524000e-04,2.20
148,100000,gain=10,-7.283000e-05,3.00
148,100000,gain=50,-2.742000e-05,3.10
148,100000,gain=200,-2.770000e-05,3.10
0,1000000,open_loop,-1.531000e-04,18.60
0,1000000,gain=10,-6.922000e-05,28.20
0,1000000,gain=50,-2.709000e-05,27.50
0,1000000,gain=200,-2.709000e-05,27.70
37,1000000,open_loop,-1.539000e-04,18.70
37,1000000,gain=10,-6.771000e-05,28.50
37,1000000,gain=50,-2.709000e-05,27.50
37,1000000,gain=200,-2.709000e-05,27.60
74,1000000,open_loop,-1.534000e-04,18.70
74,1000000,gain=10,-6.755000e-05,28.40
74,1000000,gain=50,-2.709000e-05,27.60
74,1000000,gain=200,-2.709000e-05,27.60
111,1000000,open_loop,-1.534000e-04,18.60
111,1000000,gain=10,-6.823000e-05,28.30
111,1000000,gain=50,-2.709000e-05,27.60
111,1000000,gain=200,-2.709000e-05,27.60
148,1000000,open_loop,-1.534000e-04,18.60
148,1000000,gain=10,-6.797000e-05,28.40
148,1000000,gain=50,-2.709000e-05,27.70
148,1000000,gain=200,-2.709000e-05,27.60
0,10000000,open_loop,-1.587000e-04,174.10
0,10000000,gain=10,-7.297000e-05,267.80
0,10000000,gain=50,-2.724000e-05,269.70
0,10000000,gain=200,-2.728000e-05,268.80
37,10000000,open_loop,-1.578000e-04,173.30
37,10000000,gain=10,-7.279000e-05,268.90
37,10000000,gain=50,-2.721000e-05,267.80
37,10000000,gain=200,-2.728000e-05,268.60
74,10000000,open_loop,-1.595000e-04,173.80
74,10000000,gain=10,-7.354000e-05,268.00
74,10000000,gain=50,-2.710000e-05,267.90
74,10000000,gain=200,-2.728000e-05,268.40
111,10000000,open_loop,-1.595000e-04,174.20
111,10000000,gain=10,-7.295000e-05,268.50
111,10000000,gain=50,-2.712000e-05,270.10
111,10000000,gain=200,-2.728000e-05,269.00
148,10000000,open_loop,-1.591000e-04,172.30
148,10000000,gain=10,-7.257000e-05,267.80
148,10000000,gain=50,-2.719000e-05,269.50
148,10000000,gain=200,-2.728000e-05,267.90
